ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
portalrubiero,portalrubiero,2017-03-29 23:58:23,RT @AnitaBotwin: Sólo hay un fallo en lo de Carrero Blanco. Que no fuera Franco de copiloto.,225,264,9362,123,,En la cola del paro
JuanBorge,JuanBorge,2017-03-29 23:58:22,"RT @miky_co: En el tema de Cassandra lo 1º es aclarar si Carrero Blanco es ""víctima del terrorismo"". ¿La lucha armada contra una dictadura…",73,84,2545,52,,
aleranvi,aleranvi,2017-03-29 23:58:20,RT @IU_Madrid: Por fin las imágenes desde el punto de vista de Carrero Blanco #YoSoyCassandra https://t.co/tQopzoM97v,522,159,8399,2784,Athens,Galicia
Pot_Vidal,Pot_Vidal,2017-03-29 23:58:18,RT @gerardotc: Mi chiste preferido de Carrero Blanco es el que contó alguien que tiene inmunidad. https://t.co/ttGOBcvdPy,500,194,10873,985,Madrid,"Alicante, España"
ibosim,ibosim,2017-03-29 23:58:17,"RT @NRInternacional: Un año de prisión por un Twit sobre Carrero Blanco, España es una vergüenza internacional para la justicia.
#Cassandra",59,108,7483,704,Madrid,Sant Antoni
IMP_Manuel,IMP_Manuel,2017-03-29 23:58:17,RT @ctxt_es: ¿Firmas el manifiesto de ctxt.es en solidaridad con Cassandra? #YoSoyCassandra https://t.co/rvYvcru1DU https://t.co/XNLaQlYv8V,182,122,2721,1111,Athens,
recover85,recover85,2017-03-29 23:58:16,"RT @willytoledo1: A Carrero Blanco era difícil engañarlo: como buen piloto, las pillaba todas al vuelo.
No, espera, que piloto no era.
Buen…",611,184,4692,1875,,
angsimpa,angsimpa,2017-03-29 23:58:16,"RT @SiPeroNo1: Nos cuentan en el 82 que en 2017, tras 40 años de democracia, hacer chistes sobre Carrero Blanco costaría la cárcel, y no no…",3974,4419,330795,129470,Madrid,
Cpt_Democracia,Cpt_Democracia,2017-03-29 23:58:10,RT @ctxt_es: Hola @aprensamadrid. Hemos lanzado este manifiesto contra la condena a #Cassandra. Si queréis sumaros... https://t.co/rvYvcru1…,1633,1715,21465,11455,,"Barcelona, España"
victoriadali53,victoriadali53,2017-03-29 23:58:09,RT @SiPeroNo1: La sentencia de cárcel de la Audiencia Nacional a una tuitera por unos chistes sobre Carrero Blanco desmonta toda la democra…,3338,3316,39979,6258,Caracas,VENEZUELA
BeatrizGimeno1,BeatrizGimeno1,2017-03-29 23:58:08,"RT @OlgaBaselga: Carrero Blanco nació marino, murió piloto. Llevadme con #Cassandra y ponedme en su celda, que no esté sola. #SinMordazaPod…",364,14483,28264,2362,,madrid
ISCabreado,ISCabreado,2017-03-29 23:58:07,RT @AnitaBotwin: Sólo hay un fallo en lo de Carrero Blanco. Que no fuera Franco de copiloto.,189,103,1460,9,Amsterdam,
soneira89,soneira89,2017-03-29 23:58:06,"RT @RubenSanchezTW: “Carrero Blanco: De todos mis ascensos, el último fue el más rápido”. Tip y Coll, 1984 #YosoyCassandra https://t.co/zkN…",619,352,13336,1422,Madrid,"Galicia, España"
YORYO25MD,YORYO25MD,2017-03-29 23:58:06,RT @IU_Madrid: Por fin las imágenes desde el punto de vista de Carrero Blanco #YoSoyCassandra https://t.co/tQopzoM97v,644,627,99101,2682,,"Madrid, Villa Vallecas"
Marisol_Juglara,Marisol_Juglara,2017-03-29 23:58:05,RT @iunida: ¿Carrero Blanco también regresó al futuro con su coche? #YoSoyCassandra,2105,451,14902,320,Madrid,España
