ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
Colau5,Colau5,2017-03-27 21:42:27,"@Mrcalb13 @navarro1997 ""Las leyes de la gravedad estan para romperse""
-Carrero Blanco",646,168,3387,286,Greenland,Dolingrado
Marinbaldo,Marinbaldo,2017-03-27 21:38:37,RT @ElCascabel13tv: 📺¿Qué os parecen los tuits de Cassandra sobre Carrero Blanco? #ElCascabel27M https://t.co/k49qYOGBki,905,306,12300,207,,"Mar Menor, Murcia, España,"
CKatarsis,CKatarsis,2017-03-27 21:38:19,"RT @Bastetlove3: La q se ha liado por un chiste sobre Carrero Blanco,Camarón le escribió una canción y no fue pa tanto
🎶 volando voy...🎶
Mi…",11476,20077,25388,20699,Madrid,
mercedescloilde,mercedescloilde,2017-03-27 21:35:40,RT @Cesarsvlla: @elespanolcom @AlbertoLardies lo que no puede ser es que te pidan carcel por un tuit sobre Carrero Blanco.,446,498,36887,42283,,
javimilanista,javimilanista,2017-03-27 21:34:15,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",3408,2399,4692,944,Greenland,
Rubiozag,Rubiozag,2017-03-27 21:33:29,RT @ElCascabel13tv: 📺¿Qué os parecen los tuits de Cassandra sobre Carrero Blanco? #ElCascabel27M https://t.co/k49qYOGBki,426,322,14988,6643,,"Santander, Cantabria"
getaparo,getaparo,2017-03-27 21:31:46,RT @ElCascabel13tv: 📺¿Qué os parecen los tuits de Cassandra sobre Carrero Blanco? #ElCascabel27M https://t.co/k49qYOGBki,461,1683,348341,147,Madrid,
WGaztea,WGaztea,2017-03-27 21:31:37,RT @Sara_gra: 22/03: Juicio contra @kira_95 por chistes de Carrero Blanco. La Fiscalía rebaja la petición de dos años y seis meses a un año…,55,42,6133,851,,
ElCascabel13tv,ElCascabel13tv,2017-03-27 21:31:27,📺¿Qué os parecen los tuits de Cassandra sobre Carrero Blanco? #ElCascabel27M https://t.co/k49qYOGBki,189,48741,18482,173,Madrid,
Cesarsvlla,Cesarsvlla,2017-03-27 21:31:06,@elespanolcom @AlbertoLardies lo que no puede ser es que te pidan carcel por un tuit sobre Carrero Blanco.,316,2420,62160,44046,Hawaii,Sevilla
j0dedor69,j0dedor69,2017-03-27 21:29:27,#ElCascabel27M todos  a poner twuist de carrero blanco y así bloquear los juzgados,29,20,2039,47,,atapuerca City
j0dedor69,j0dedor69,2017-03-27 21:27:58,#ElCascabel27M carrero blanco regreso al futuro con su coche?,29,20,2039,47,,atapuerca City
cabajoseba,cabajoseba,2017-03-27 21:25:03,"RT @Garrosa: Año 95, ETA atenta contra Aznar y sale el ""bombazo mix"". Nadie se escandalizó. Hoy se juzgan unos tuits sobre Carrero Blanco.…",71,77,1655,1175,,
dedomuelle,dedomuelle,2017-03-27 21:23:51,"El primer ser humano en llegar a la Luna fue Carrero Blanco, como volaba el cabron xDDD",300,79,4077,642,Madrid,Soy un polaco desos jejejejj
rfernandezjou,rfernandezjou,2017-03-27 21:19:14,"RT @Berlustinho: ""Joder, se me ha pasado la hora volando.""

Carrero Blanco",477,779,103957,37287,,
guiller_espiga,guiller_espiga,2017-03-27 21:18:46,RT @eljueves: En el nuevo trailer de DC se ve como la Liga de la Justicia salva al mundo persiguiendo a tuiteros que hacen chistes de Carre…,55,32,1151,735,,
DanielFerGz,DanielFerGz,2017-03-27 21:14:25,"""Carrero Blanco primer astronauta español jajaja""
ㅤ
ㅤ
ㅤ
ㅤ
ㅤㅤ / 🚔   \  
       /       🚔 \
      / 🚔    🚔 \   
    /          🚘     \
Mierda!",214,180,29640,17694,Madrid,"Torrevieja, España"
Flashito_,Flashito_,2017-03-27 21:09:13,Me ha gustado un vídeo de @YouTube de @unosmemiyos (https://t.co/LfmtzxX2Sz - Carrero Blanco | Shooting Stars - @unosMemiyos).,106,368,107852,23212,Athens,Candadito: @turbotroleo
JoseLuque_41,JoseLuque_41,2017-03-27 21:06:25,Carrero Blanco no. https://t.co/xDlFTEqaqE,445,816,93017,19877,Pacific Time (US & Canada),Almería - Wrestlemania
LucasTyrell,LucasTyrell,2017-03-27 21:05:25,@hugothester @pintxodemerluza y quien decide que es enaltecimiento? Reirte de chistes de carrero blanco te hace filoetarra? Evidentemente NO,60,14,680,59,Pacific Time (US & Canada),
spongeb95961656,spongeb95961656,2017-03-27 21:02:42,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",153,7,287,184,,
Lia_PC,Lia_PC,2017-03-27 21:02:26,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",161,128,1756,889,Madrid,Asteroide B612
Archaeopteryx8,Archaeopteryx8,2017-03-27 21:01:58,RT @aluniza2: No me quiero ni imaginar dónde te meterían si contaras en tuiter un chiste de Carrero Blanco vestido de Papa.,648,451,11802,7396,Athens,
YulianaVK,YulianaVK,2017-03-27 20:52:38,"RT @subversivos_: PONLE CHISTE A LA IMAGEN: 15 chistes sobre Carrero Blanco firmados por usuarios de Internet @eljueves ¡VALIENTES! ✊
https…",1203,867,73389,33425,Zagreb,"El Guinardó, Barcelona"
Anarisd,Anarisd,2017-03-27 20:51:44,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",484,436,20203,7153,Europe/Madrid,Barcelona
GaldutaNago,GaldutaNago,2017-03-27 20:51:14,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",10,4,25,2,West Central Africa,Donde no haya policía.
Juanmipuchalt,Juanmipuchalt,2017-03-27 20:48:52,RT @Andres_Boix: Mira que es raro un país donde hay una guía sobre cómo hacer chistes sobre Carrero Blanco sin acabar en la AN https://t.co…,615,381,16415,5628,Madrid,València-Bilbo-Warszawa
carlosasturies,carlosasturies,2017-03-27 20:47:35,@jonisual88 @vines1926 @franfeten creo que hay diferencia entre reirse de Carrero Blanco y hacer un acto de recuerdo a quien lo asesinó.,987,935,14955,9131,Madrid,En Oviedo aunque Cangués
TbykmJr,TbykmJr,2017-03-27 20:45:50,"Yo me imagino a los ontegrantes de ETA viendo los chistes de Carrero Blanco diciendo: ""Hemos creado monstruos"" Y por eso se han desarmado.",423,211,15809,19303,,"Detrás de ti, imbécil. "
aenriquezl,aenriquezl,2017-03-27 20:45:15,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",303,62,4363,1627,,
YulianaVK,YulianaVK,2017-03-27 20:44:55,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",1203,867,73389,33425,Zagreb,"El Guinardó, Barcelona"
UalidSarghini,UalidSarghini,2017-03-27 20:44:22,"""No se dice esclavo, ahora se dice asalariado.
No se dice pobre, se dice parado.
No se dice explotado se dice Carrero Blanco pavo""
   Mitico",147,351,12554,7448,Madrid,Vamos Mi Granada!! 
YulianaVK,YulianaVK,2017-03-27 20:43:58,"RT @JDCarracedo: #CassandraLibre La libertad de expresión no es un delito y el humor negro tampoco, aunque no nos guste. https://t.co/aGftL…",1203,867,73389,33425,Zagreb,"El Guinardó, Barcelona"
ShiOfAstora,ShiOfAstora,2017-03-27 20:43:42,RT @Grigorispoem: Ojalá alguien a quien susurrarle chistes de Carrero Blanco antes de dormir.,196,283,34896,52293,Madrid,
Grigorispoem,Grigorispoem,2017-03-27 20:43:35,Ojalá alguien a quien susurrarle chistes de Carrero Blanco antes de dormir.,194,288,13448,10551,Pacific Time (US & Canada),Pronto en una caravana.
UalidSarghini,UalidSarghini,2017-03-27 20:41:42,RT @Lolo_Sev: Menos mal que los que deseaban la muerte de @ahorapodemos y simpatizantes no hicieron ningún chiste sobre Carrero Blanco http…,147,351,12554,7448,Madrid,Vamos Mi Granada!! 
pepeitorr0,pepeitorr0,2017-03-27 20:30:55,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",1871,1435,46009,743,Pacific Time (US & Canada),Madrid
Javiguanarteme,Javiguanarteme,2017-03-27 20:30:25,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",139,81,1819,500,Madrid,"Zaragoza, Spain"
frikiquark,frikiquark,2017-03-27 20:29:40,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",1375,537,57387,18804,Amsterdam,
guevarache31,guevarache31,2017-03-27 20:25:53,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",2368,898,25012,233,,
DarthVaderBcn,DarthVaderBcn,2017-03-27 20:21:37,RT @Silvicarri: Si tuiteas sobre Carrero Blanco la Guardia Civil también te subvenciona una casa.,418,564,51247,153,Madrid,Catalunya 
liverpooldavidm,liverpooldavidm,2017-03-27 20:21:24,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",2046,1745,141119,81817,Madrid,
Doralaacusadora,Doralaacusadora,2017-03-27 20:17:17,RT @Xuxipc: ÚLTIMA HORA: La Fiscalía pide resucitar a Tip y Coll para poder juzgarles por este chiste sobre Carrero Blanco. https://t.co/NA…,763,760,2896,1854,Athens,
Arnaiztech,Arnaiztech,2017-03-27 20:17:04,RT @Sara_gra: 22/03: Juicio contra @kira_95 por chistes de Carrero Blanco. La Fiscalía rebaja la petición de dos años y seis meses a un año…,365,345,11023,3491,Madrid,Burgos // Guzmán Ribera
apetecaown,apetecaown,2017-03-27 20:17:02,RT @Silvicarri: Si tuiteas sobre Carrero Blanco la Guardia Civil también te subvenciona una casa.,358,405,4468,4348,,
