ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
punktumaca,punktumaca,2017-03-28 12:17:39,"vamos a decir las cosas claras, Carrero Blanco era el sucesor de un DICTADOR FASCISTA, ETA lo mató y yo personalmente lo celebraré siempre",286,929,32053,32506,Pacific Time (US & Canada),BCN ☭ 
KrysEtc,KrysEtc,2017-03-28 12:16:59,RT @Omar4114: ¿Y esto no es condenable pero hacer chistes de Carrero Blanco si? https://t.co/HYZAmnXtgf,146,142,6936,1051,,
Aguamarina65,Aguamarina65,2017-03-28 12:15:33,Me he enterado que han metido en la càrcel a un periodista por hacer un chiste de Carrero blanco estamos en una dictadura o no??,550,199,772,21,Athens,Málaga
Omar4114,Omar4114,2017-03-28 12:13:31,¿Y esto no es condenable pero hacer chistes de Carrero Blanco si? https://t.co/HYZAmnXtgf,433,297,13300,1534,Madrid,Gargantua 
DiegoMzmn,DiegoMzmn,2017-03-28 12:13:04,@slifante @TodasGamers El Carrero Blanco de los videojuegos.,375,69,5709,2614,Madrid,The Rice Fields
ARRECIA,ARRECIA,2017-03-28 12:12:32,"RT @bufetalmeida: Que intervenga la Guardia Civil de oficio, por favor. Si son tan rápidos con Carrero Blanco, que lo sean también con el H…",204,32,2898,4104,Madrid,"Sydney, New South Wales"
lucy96lugo,lucy96lugo,2017-03-28 12:10:26,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",238,182,16206,556,,
MICE_FACTORY,MICE_FACTORY,2017-03-28 12:09:44,"RT @bufetalmeida: Que intervenga la Guardia Civil de oficio, por favor. Si son tan rápidos con Carrero Blanco, que lo sean también con el H…",2214,1338,16192,9154,Bern,Anywhere
SalvadorPerucho,SalvadorPerucho,2017-03-28 12:09:20,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",102,119,26493,560,Athens,Alcantera de Xuquer - València
carlosscid,carlosscid,2017-03-28 12:09:12,"RT @SiPeroNo1: En España, cuando hablan del pacto antiterrorista de PP y PSOE, se refieren a encarcelar a tuiteros por hacer chistes sobre…",191,289,34820,442,Madrid,Sevilla
