ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
DaniRuedasLopez,DaniRuedasLopez,245,293,21222,1955,Amsterdam,Getafe
mrmarti_,mrmarti_,395,1785,35364,47760,Madrid,Californication 
saurians,saurians,356,190,10682,2694,Greenland,При́п'ять (Valladolid)
jingo25814164,jingo25814164,151,262,38072,291,Athens,españa
jairo_pastor1,jairo_pastor1,807,339,14940,11241,Madrid,
titet81,titet81,1091,715,6017,3788,,
dannielatres,dannielatres,394,509,22902,5148,Athens,maliAñiiiiiiiiiiiaooooooooo
eduardoblanco__,eduardoblanco__,567,406,27888,8116,Madrid,Santander
KimiHimeNya,KimiHimeNya,65,90,26470,480,London,"Islas Canarias, España"
darikdarkness,darikdarkness,303,572,38116,14987,Amsterdam,Brookhaven Asylum.
joselu_ra,joselu_ra,511,140,2367,872,Madrid,
sadgasmito,sadgasmito,215,209,48221,22503,Belgrade,
Matias11D_,Matias11D_,445,1003,140067,242794,London,Barcelona
cuarterman_scm,cuarterman_scm,736,319,5236,1004,,"Getafe, Spain"
Unelar,Unelar,564,30303,200464,77189,Amsterdam,"Bilbao, la hostia"
ashvathaman,ashvathaman,34,17,2900,57,Madrid,
cooI_porygon,cooI_porygon,142,161,22423,38820,Pacific Time (US & Canada),
juliolxxix,juliolxxix,1501,1971,267787,2683,,madrid
DuxAdler,DuxAdler,210,264,43226,30123,Madrid,Metro 2033
ldioteque_,ldioteque_,355,819,73169,14605,Hawaii,Überlin
RoseLecter,RoseLecter,505,1656,68174,62437,Belgrade,@holaxicsss
suggarmarxist,suggarmarxist,785,9373,49956,8117,Pacific Time (US & Canada),con mis femifranquis
196193Jose,196193Jose,1291,1317,70950,54560,,ALCOI (ALACANT)
KanFirnen,KanFirnen,98,33,2981,2505,London,Aquí
raslyy,raslyy,149,152,2821,3684,Pacific Time (US & Canada),
titosparrow,titosparrow,1607,1470,22305,8402,Hawaii,Mediterráneo. Spain
AnibalHerran,AnibalHerran,142,114,5656,432,,
lolitalittle,lolitalittle,823,617,11838,7819,,macaronesia
oierpereda,oierpereda,169,111,901,136,,
GladysLobato,GladysLobato,78,147,726,1000,,"A Coruña,  Galicia "
europaa59,europaa59,315,161,7525,2148,London,
pitihacklab,pitihacklab,1688,425,6926,815,,
emoyoyo,emoyoyo,2202,1188,22824,6382,Berlin,WonderLand
LeftsReview,LeftsReview,2368,1578,89896,23136,Ljubljana,Twitter
cristinvvv,cristinvvv,212,517,50015,41434,,
Ankerton,Ankerton,507,327,20117,5059,Madrid,Southern California.
Angel37513503,Angel37513503,311,113,18276,1472,Pacific Time (US & Canada),
JavierVilches14,JavierVilches14,154,152,10374,3799,,
Crisbb96,Crisbb96,2995,2857,68655,34539,Madrid,Barcelona
marle501,marle501,1423,644,37700,24407,Madrid,
yoli595959,yoli595959,643,951,72341,3110,,
URSS1961,URSS1961,0,18,2474,206,,
J_Alex_Vega,J_Alex_Vega,1630,825,15701,8118,Madrid,
dasumaEsPolitic,dasumaEsPolitic,4788,892,8852,344,Madrid,"Barcelona, España"
danidetuxe,danidetuxe,1210,598,29187,28254,Amsterdam,
VerdesXelCambio,VerdesXelCambio,143,175,9648,9935,,"Andalucía, España"
