ID,User,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
846117878252408834,igniwan,2017-03-26 21:53:16,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",2781,2792,55482,36214,Hong Kong,por hay 
846117577126547456,O_edipus,2017-03-26 21:52:05,RT @rubenlesnits: Se abre el telón y se ve a Carrero Blanco ... Y hasta ahí puedo leer. Cerrar el telón son más de 2 años. Madre mía.,600,809,120966,170009,,Right here
846117413166993409,fran_ferreiros,2017-03-26 21:51:26,"RT @Berlustinho: ""Joder, se me ha pasado la hora volando.""

Carrero Blanco",126,1125,26429,9186,UTC,Spain
846116929031016450,arcadicanyot,2017-03-26 21:49:30,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",163,103,3126,527,,
846115329487065088,matussera,2017-03-26 21:43:09,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",61,689,4852,6109,Pacific Time (US & Canada),Muy de mi calle y de mi risa.
846115100117360645,PDLI_,2017-03-26 21:42:14,"El miércoles era el juicio en la Audiencia Nacional contra @kira_95 por unos chistes en tuiter sobre Carrero Blanco.
https://t.co/4Bpvw7jyfm",1422,6445,5170,4162,,Madrid
846114932802420737,samsonXu,2017-03-26 21:41:34,"RT @rcabrero75: Un Pais donde tener una cuenta en twiter te lleva a la Carcel..
Ser avalista de una Cuenta en Suiza te lleva a Moncloa..
Ca…",253,244,31651,184,Pacific Time (US & Canada),"Barcelona, Cataluña"
846114584578740226,NatiNatiruizv,2017-03-26 21:40:11,"RT @Julvilop: Hablemos claro #Policía .. @kira_95 hace Tweets sobre Carrero Blanco, ¿Y se sienta en el banquillo? ¿Y éste ..? Viva la justi…",90,33,1900,751,,logroño
846114496640901125,Ossa_Major,2017-03-26 21:39:50,Lo peor es que por esto no va a ir a ningún tribunal pero si hiciera un chiste sobre Carrero Blanco si.,309,920,58922,44942,Amsterdam,País Valencià~Països Catalans
846114190553206784,funlazuli,2017-03-26 21:38:37,¿Qué es más ofensivo? Los chistes de Carrero Blanco o las burlas de Hernando a las víctimas del franquismo - https://t.co/2aA7af1vRI,1857,1331,4790,736,Bogota, Bogotá Distrito Capital
846114062304002049,EmiliaToba,2017-03-26 21:38:07,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",898,336,23004,285,,
846113882741575680,arianlandrio97,2017-03-26 21:37:24,"RT @Berlustinho: ""Joder, se me ha pasado la hora volando.""

Carrero Blanco",1037,168,5294,3684,,Grado (Asturias)
